journee_gaziere,qte_injectee_Mwh
2019-08-03,2272.5510
2019-08-04,2218.2280
2019-08-05,2218.1070
2019-08-06,2377.1040
2019-08-07,2468.3350
2019-08-08,2498.6130
2019-08-09,2531.3770
2019-08-10,2459.3000
2019-08-11,2375.7810
2019-08-12,2413.2560
2019-08-13,2519.1510
2019-08-14,2570.0100
2019-08-15,2590.6010
2019-08-16,2691.2080
2019-08-17,2543.3170
2019-08-18,2485.2930
2019-08-19,2462.6810
2019-08-20,2424.8290
2019-08-21,2526.3380
2019-08-22,2651.2670
2019-08-23,2748.1750
2019-08-24,2600.3120
2019-08-25,2570.0390
2019-08-26,2610.5350
2019-08-27,2630.7040
2019-08-28,2717.9430
2019-08-29,2753.1750
2019-08-30,2790.9480
2019-08-31,2608.2610
2019-09-01,2557.6740
2019-09-02,2727.5290
2019-09-03,2673.4110
2019-09-04,2770.9990
2019-09-05,2886.1290
2019-09-06,2967.4570
2019-09-07,2797.6920
2019-09-08,2739.7950
2019-09-09,2807.1020
2019-09-10,2815.4550
2019-09-11,2856.4280
2019-09-12,2939.7260
2019-09-13,3005.9850
2019-09-14,2860.8030
2019-09-15,2882.0170
2019-09-16,2866.7880
2019-09-17,2922.6940
2019-09-18,3020.1940
2019-09-19,3025.8600
2019-09-20,3084.5470
2019-09-21,2998.1510
2019-09-22,2796.8430
2019-09-23,2886.9970
2019-09-24,2984.4020
2019-09-25,2924.3050
2019-09-26,2994.1750
2019-09-27,3139.9180
2019-09-28,3116.6700
2019-09-29,2952.0830
2019-09-30,2906.4550
2019-10-01,3009.9720
2019-10-02,2820.3660
2019-10-03,2770.1460
2019-10-04,3080.3510
2019-10-05,3119.8780
2019-10-06,3133.2980
2019-10-07,3127.7440
2019-10-08,2977.2050
2019-10-09,3056.3680
2019-10-10,3097.8640
2019-10-11,3172.0660
2019-10-12,3029.4350
2019-10-13,2959.8630
2019-10-14,2985.9830
2019-10-15,2977.9320
2019-10-16,3147.9220
2019-10-17,3133.3290
2019-10-18,3103.8060
2019-10-19,3173.0450
2019-10-20,3028.7940
2019-10-21,3026.3320
2019-10-22,3009.9830
2019-10-23,3068.8360
2019-10-24,3037.6020
2019-10-25,3046.1880
2019-10-26,3229.5010
2019-10-27,2892.8280
2019-10-28,2812.9950
2019-10-29,2962.4320
2019-10-30,3089.3090
2019-10-31,3142.5200
2019-11-01,3116.9290
2019-11-02,3000.0610
2019-11-03,2844.4490
2019-11-04,2787.4650
2019-11-05,2884.9560
2019-11-06,2931.5790
2019-11-07,3021.5440
2019-11-08,3033.8750
2019-11-09,3065.2980
2019-11-10,2983.0450
2019-11-11,2980.3900
2019-11-12,3067.9930
2019-11-13,3091.7790
2019-11-14,3041.0530
2019-11-15,3028.6780
2019-11-16,3112.3780
2019-11-17,3068.1720
2019-11-18,3014.0480
2019-11-19,2999.7620
2019-11-20,3094.1160
2019-11-21,3234.3560
2019-11-22,3307.8990
2019-11-23,3208.9010
2019-11-24,3072.7440
2019-11-25,3079.2390
2019-11-26,3135.2830
2019-11-27,3151.5310
2019-11-28,3080.1530
2019-11-29,3113.8230
2019-11-30,3137.4840
2019-12-01,3232.7260
2019-12-02,3152.6700
2019-12-03,3129.7850
2019-12-04,3087.7940
2019-12-05,3184.5760
2019-12-06,3325.9220
2019-12-07,3318.5360
2019-12-08,3229.2640
2019-12-09,3222.8680
2019-12-10,3352.4360
2019-12-11,3304.7600
2019-12-12,3309.1300
2019-12-13,3362.2190
2019-12-14,3355.6960
2019-12-15,3401.7740
2019-12-16,3500.3870
2019-12-17,3475.4450
2019-12-18,3486.9380
2019-12-19,3387.9030
2019-12-20,3493.6450
2019-12-21,3528.9150
2019-12-22,3434.0440
2019-12-23,3451.4970
2019-12-24,3442.0430
2019-12-25,3393.6660
2019-12-26,3491.7960
2019-12-27,3422.8580
2019-12-28,3493.1160
2019-12-29,3262.8130
2019-12-30,3189.0840
2019-12-31,3261.8460
2020-01-01,3324.2960
2020-01-02,3435.0640
2020-01-03,3511.1850
2020-01-04,3497.8220
2020-01-05,3506.8880
2020-01-06,3515.0930
2020-01-07,3434.7400
2020-01-08,3561.9580
2020-01-09,3564.5380
2020-01-10,3596.1820
2020-01-11,3488.6120
2020-01-12,3443.1280
2020-01-13,3393.3430
2020-01-14,3447.1870
2020-01-15,3448.1170
2020-01-16,3555.1750
2020-01-17,3599.1630
2020-01-18,3671.9770
2020-01-19,3582.2360
2020-01-20,3563.3260
2020-01-21,3463.6810
2020-01-22,3587.1230
2020-01-23,3586.8490
2020-01-24,3679.2080
2020-01-25,3683.3060
2020-01-26,3499.2770
2020-01-27,3448.3670
2020-01-28,3524.6090
2020-01-29,3740.9130
2020-01-30,3656.8980
2020-01-31,3516.5440
2020-02-01,3672.0510
2020-02-02,3595.7220
2020-02-03,3569.3940
2020-02-04,3551.5560
2020-02-05,3537.9680
2020-02-06,3556.0990
2020-02-07,3783.6260
2020-02-08,3703.3780
2020-02-09,3358.9240
2020-02-10,3299.6670
2020-02-11,3564.2340
2020-02-12,3485.0690
2020-02-13,3480.6650
2020-02-14,3720.6040
2020-02-15,3845.1970
2020-02-16,3598.9060
2020-02-17,3613.3030
2020-02-18,3775.2220
2020-02-19,3902.7870
2020-02-20,3773.8410
2020-02-21,3878.2000
2020-02-22,3997.8670
2020-02-23,3855.8370
2020-02-24,3869.3520
2020-02-25,3812.8020
2020-02-26,3829.1800
2020-02-27,3768.9660
2020-02-28,4076.7910
2020-02-29,3975.0810
2020-03-01,3742.3710
2020-03-02,3721.0760
2020-03-03,3753.7970
2020-03-04,3934.9390
2020-03-05,3824.9980
2020-03-06,3735.9680
2020-03-07,3969.3310
2020-03-08,3907.7910
2020-03-09,3875.7760
2020-03-10,3900.2800
2020-03-11,3896.5080
2020-03-12,4000.0440
2020-03-13,4148.1440
2020-03-14,4201.4950
2020-03-15,4120.6970
2020-03-16,4050.9280
2020-03-17,4030.5200
2020-03-18,4192.0700
2020-03-19,4188.7160
2020-03-20,4248.3340
2020-03-21,4229.2950
2020-03-22,4109.2220
2020-03-23,4084.5350
2020-03-24,4131.4290
2020-03-25,4153.8790
2020-03-26,4035.2710
2020-03-27,3999.9090
2020-03-28,3873.2660
2020-03-29,4018.7800
2020-03-30,4046.5940
2020-03-31,3955.3110
2020-04-01,4138.2450
2020-04-02,4141.6240
2020-04-03,4110.4250
2020-04-04,4236.1800
2020-04-05,4118.3170
2020-04-06,4107.0220
2020-04-07,4142.0030
2020-04-08,4201.2020
2020-04-09,4178.1870
2020-04-10,4158.3310
2020-04-11,4044.4870
2020-04-12,3992.9200
2020-04-13,4081.0940
2020-04-14,4103.6880
2020-04-15,4158.4460
2020-04-16,4137.6940
2020-04-17,4201.0070
2020-04-18,4029.2390
2020-04-19,3988.2080
2020-04-20,4131.6670
2020-04-21,4195.7960
2020-04-22,4282.7970
2020-04-23,4240.1130
2020-04-24,4246.3050
2020-04-25,4138.1610
2020-04-26,4168.5220
2020-04-27,4177.1080
2020-04-28,4246.1880
2020-04-29,4060.9230
2020-04-30,4104.7280
2020-05-01,4203.7980
2020-05-02,4161.8710
2020-05-03,4124.4680
2020-05-04,4047.2840
2020-05-05,4079.8500
2020-05-06,4070.0360
2020-05-07,4138.3620
2020-05-08,4145.3830
2020-05-09,4022.9140
2020-05-10,3937.9820
2020-05-11,3856.1820
2020-05-12,3858.8520
2020-05-13,3899.6690
2020-05-14,4050.5230
2020-05-15,4143.9710
2020-05-16,4019.2400
2020-05-17,4018.5920
2020-05-18,4001.3940
2020-05-19,3962.4100
2020-05-20,4120.0040
2020-05-21,4096.9610
2020-05-22,4230.8670
2020-05-23,4071.2710
2020-05-24,3965.6210
2020-05-25,3988.2420
2020-05-26,4106.0960
2020-05-27,4062.0350
2020-05-28,4037.4170
2020-05-29,4256.1980
2020-05-30,4158.8420
2020-05-31,4022.8870
2020-06-01,4293.1840
2020-06-02,4238.8520
2020-06-03,4337.1570
2020-06-04,4415.8980
2020-06-05,4529.1520
2020-06-06,4384.9460
2020-06-07,4209.6980
2020-06-08,4190.1010
2020-06-09,4090.6470
2020-06-10,4314.6030
2020-06-11,4381.5480
2020-06-12,4340.3150
2020-06-13,4176.2320
2020-06-14,4148.7270
2020-06-15,4241.9560
2020-06-16,4178.4080
2020-06-17,4198.7010
2020-06-18,4174.9390
2020-06-19,4339.9360
2020-06-20,4391.0830
2020-06-21,4219.2350
2020-06-22,4282.7970
2020-06-23,4117.0100
2020-06-24,4092.6930
2020-06-25,4034.3180
2020-06-26,4173.7550
2020-06-27,4209.2480
2020-06-28,4160.8190
2020-06-29,4319.5600
2020-06-30,4364.8710
2020-07-01,4605.9060
2020-07-02,4589.4940
2020-07-03,4667.0980
2020-07-04,4515.8360
2020-07-05,4520.7670
2020-07-06,4518.7930
2020-07-07,4496.2090
2020-07-08,4470.9410
2020-07-09,4497.8800
2020-07-10,4480.3320
2020-07-11,4460.8970
2020-07-12,4381.0680
2020-07-13,4522.5050
2020-07-14,4420.8510
2020-07-15,4470.5050
2020-07-16,4457.0150
2020-07-17,4597.3990
2020-07-18,4444.2480
2020-07-19,4383.6840
2020-07-20,4395.0890
2020-07-21,4435.6590
2020-07-22,4477.4470
2020-07-23,4610.1020
2020-07-24,4660.8980
2020-07-25,4416.4060
2020-07-26,4267.1400
2020-07-27,4425.3850
2020-07-28,4450.4200
2020-07-29,4625.4740
2020-07-30,4498.2610
2020-07-31,4360.8910
2020-08-01,4530.8980
2020-08-02,4497.7450
2020-08-03,4646.0140
2020-08-04,4562.7500
2020-08-05,4692.5830
2020-08-06,4637.4870
2020-08-07,4734.4250
2020-08-08,4501.4450
2020-08-09,4197.7180
2020-08-10,4403.6870
2020-08-11,4271.4340
2020-08-12,4242.8020
2020-08-13,4600.0130
2020-08-14,4677.5550
2020-08-15,4261.7160
2020-08-16,4243.0610
2020-08-17,4619.8900
2020-08-18,4765.2490
2020-08-19,4682.1400
2020-08-20,4758.3890
2020-08-21,4733.4000
2020-08-22,4606.3590
2020-08-23,4432.3790
2020-08-24,4595.2300
2020-08-25,4731.8030
2020-08-26,4897.2850
2020-08-27,4909.0030
2020-08-28,4841.8280
2020-08-29,4702.2320
2020-08-30,4670.1330
2020-08-31,4801.8500
2020-09-01,4794.2090
2020-09-02,4751.8680
2020-09-03,4944.3250
2020-09-04,5011.9190
2020-09-05,4900.0770
2020-09-06,4694.5150
2020-09-07,4920.5800
2020-09-08,4906.2490
2020-09-09,5012.7720
2020-09-10,5126.6700
2020-09-11,5024.5770
2020-09-12,4750.0400
2020-09-13,4690.0900
2020-09-14,4845.4510
2020-09-15,4773.1000
2020-09-16,4820.5560
2020-09-17,5118.2690
2020-09-18,5253.0160
2020-09-19,4924.7800
2020-09-20,4869.1270
2020-09-21,5003.5180
2020-09-22,4844.0000
2020-09-23,4960.8030
2020-09-24,5001.6990
2020-09-25,5006.1290
2020-09-26,5006.3060
2020-09-27,4989.1630
2020-09-28,5005.8100
2020-09-29,4966.5640
2020-09-30,5133.0640
2020-10-01,5248.4750
2020-10-02,5324.2200
2020-10-03,5260.3740
2020-10-04,5142.6830
2020-10-05,5311.6440
2020-10-06,5381.4320
2020-10-07,5301.5090
2020-10-08,5512.9010
2020-10-09,5517.4990
2020-10-10,5466.0020
2020-10-11,5305.6100
2020-10-12,5503.2380
2020-10-13,5502.3880
2020-10-14,5650.9910
2020-10-15,5660.8130
2020-10-16,5918.7690
2020-10-17,5775.3580
2020-10-18,5653.3850
2020-10-19,5803.2480
2020-10-20,5804.3930
2020-10-21,5899.8220
2020-10-22,5992.6650
2020-10-23,5985.2720
2020-10-24,6193.8820
2020-10-25,5638.0820
2020-10-26,5622.9620
2020-10-27,5653.8240
2020-10-28,5657.1710
2020-10-29,5613.9080
2020-10-30,5701.0120
2020-10-31,5827.7420
2020-11-01,5725.1560
2020-11-02,5647.0590
2020-11-03,5713.1940
2020-11-04,5748.1030
2020-11-05,5944.1610
2020-11-06,6099.4280
2020-11-07,6139.3980
2020-11-08,6023.1770
2020-11-09,5977.6940
2020-11-10,6078.8220
2020-11-11,6198.6020
2020-11-12,6014.4050
2020-11-13,6240.0010
2020-11-14,6284.4070
2020-11-15,6082.3890
2020-11-16,6176.0590
2020-11-17,6083.2900
2020-11-18,6119.1290
2020-11-19,6258.2970
2020-11-20,6273.8250
2020-11-21,6229.1850
2020-11-22,6207.4800
2020-11-23,6194.3430
2020-11-24,6331.2470
2020-11-25,6302.2070
2020-11-26,6504.3660
2020-11-27,6550.8570
2020-11-28,6337.8360
2020-11-29,6062.3580
2020-11-30,5848.0760
2020-12-01,6328.5240
2020-12-02,6377.3310
2020-12-03,6502.7800
2020-12-04,6502.0140
2020-12-05,6354.0600
