date,ln(qte),qte_injectee_Mwh
1047,8.76070720877569,6378.621
1048,8.77128114768782,6446.426
1049,8.80092221083921,6640.365
1050,8.79647810621665,6610.92
1051,8.79601679321849,6607.871
1052,8.83332612246953,6859.063
1053,8.8462813757585,6948.502
1054,8.88062140063995,7191.258
1055,8.90388355177899,7360.503
1056,8.9060598374039,7376.539
1057,8.889699889158,7256.841
1058,8.89023951008223,7260.758
1059,8.88801578374744,7244.63
1060,8.8952675067843,7297.357
1061,8.88291405735372,7207.764
1062,8.89042143046096,7262.079
1063,8.89747559352454,7313.488
1064,8.88240419927722,7204.09
1065,8.86094586125013,7051.149
1066,8.89394313731851,7287.699
1067,8.91291983422614,7427.316
1068,8.93728060398332,7610.473
1069,8.96610941088613,7833.067
1070,8.95150150598252,7719.474
1071,8.95433705372628,7741.394
1072,8.9227045651208,7500.347
1073,8.92858443855756,7544.578
1074,8.93117605357414,7564.156
1075,8.97778466496657,7925.056
1076,8.95967003622314,7782.789
1077,8.98983122257609,8021.103
1078,8.96058253158351,7789.894
1079,8.95694545240194,7761.613
1080,8.97326129571096,7889.289
1081,8.98079021713353,7948.911
1082,8.97138115984168,7874.47
1083,8.9769253745068,7918.249
1084,9.01375306147167,8215.296
1085,8.97808405020715,7927.429
1086,8.95521209449501,7748.171
1087,8.96898702413706,7855.64
1088,8.96454161864041,7820.796
1089,8.96794888699483,7847.489
1090,8.97608961338525,7911.634
1091,8.9890612066139,8014.929
1092,8.95160358026678,7720.262
1093,8.96611260247891,7833.092
1094,8.97657258278447,7915.456
1095,8.94449702250485,7665.592
1096,8.94250850738795,7650.364
1097,8.98022922826838,7944.453
1098,8.98919157980641,8015.974
1099,9.00171147161521,8116.964
1100,8.98315014389885,7967.692
1101,8.9630517862483,7809.153
1102,8.9621939630756,7802.457
1103,8.9765364502904,7915.17
1104,9.00492278337818,8143.072
1105,9.00092478449412,8110.581
1106,8.96624817193402,7834.154
1107,8.95628931683118,7756.522
1108,8.96156960584197,7797.587
1109,8.97270367558567,7884.891
1110,8.99097255858379,8030.263
1111,8.98762610350691,8003.435
1112,9.00042851935996,8106.557
1113,9.0089110999787,8175.614
1114,8.97436585476074,7898.008
1115,8.96833492324066,7850.519
1116,8.97994710486301,7942.212
1117,8.98650583198427,7994.474
1118,8.98451497773383,7978.574
1119,8.9977780168342,8085.099
1120,8.98083386995922,7949.258
1121,8.95812067692207,7770.74
1122,8.9598820200145,7784.439
1123,8.95184136775634,7722.098
1124,8.94948664607066,7703.936
1125,8.95477086079949,7744.753
1126,8.96594356170827,7831.768
1127,9.02026269408917,8268.949
1128,8.98780938300735,8004.902
