Date,conso_moy_quot_MW_PCS0C
03/06/20,85759.3333
03/07/20,73079.7500
03/08/20,67248.1250
03/09/20,78500.7917
03/10/20,69435.6250
03/11/20,62759.1250
03/12/20,66713.8333
03/13/20,72484.9167
03/14/20,64940.5417
03/15/20,55800.0833
03/16/20,69481.2083
03/17/20,62197.1250
03/18/20,55311.6250
03/19/20,50001.3750
03/20/20,46726.5417
03/21/20,51517.7083
03/22/20,54493.4583
03/23/20,59753.7083
03/24/20,60802.9167
03/25/20,61612.0000
03/26/20,62226.2083
03/27/20,57390.8750
03/28/20,47479.1667
03/29/20,59906.1304
03/30/20,69962.9583
03/31/20,66152.4583
04/01/20,59876.9167
04/02/20,54904.6667
04/03/20,50517.6250
04/04/20,41243.6250
04/05/20,34636.7500
04/06/20,37522.5000
04/07/20,34575.2083
04/08/20,31719.7500
04/09/20,29905.1250
04/10/20,27645.7500
04/11/20,24852.0833
04/12/20,24390.5000
04/13/20,29812.0833
04/14/20,38707.3750
04/15/20,35952.0417
04/16/20,30615.9167
04/17/20,27899.7083
04/18/20,25296.5000
04/19/20,26825.8333
04/20/20,30236.5833
04/21/20,30966.7917
04/22/20,30344.9583
04/23/20,28875.2500
04/24/20,27432.4167
04/25/20,25641.5000
04/26/20,26051.5833
04/27/20,29320.7500
04/28/20,31561.5000
04/29/20,33260.5833
04/30/20,35105.1250
05/01/20,32411.4167
05/02/20,31350.2083
05/03/20,29393.7917
05/04/20,31329.9167
05/05/20,34281.6250
05/06/20,33700.6667
05/07/20,32151.5417
05/08/20,25445.3750
05/09/20,23003.2500
05/10/20,22838.5417
05/11/20,33956.3750
05/12/20,43722.5833
05/13/20,46399.6667
05/14/20,42465.9583
05/15/20,39426.2500
05/16/20,30497.4583
05/17/20,27440.2083
05/18/20,30148.1667
05/19/20,32717.2500
05/20/20,32996.2083
05/21/20,24867.2917
05/22/20,23234.0000
05/23/20,21970.5833
05/24/20,22580.3750
05/25/20,27903.3750
05/26/20,29338.9167
05/27/20,29314.1250
05/28/20,27788.6250
05/29/20,27645.6250
05/30/20,22090.0000
05/31/20,20303.0417
06/01/20,21636.7500
06/02/20,28779.8333
06/03/20,31006.7917
06/04/20,31703.5417
06/05/20,26981.9167
06/06/20,23091.8333
06/07/20,23600.7917
06/08/20,33293.7500
06/09/20,35591.7500
06/10/20,35637.0833
06/11/20,35053.5000
06/12/20,33892.2917
06/13/20,27010.6250
06/14/20,23809.8333
06/15/20,31967.5417
06/16/20,33806.1250
06/17/20,33795.6667
06/18/20,33894.9583
06/19/20,33405.5000
06/20/20,28431.1667
06/21/20,23183.6250
06/22/20,31033.9167
06/23/20,32228.0833
06/24/20,31247.7917
06/25/20,31438.0417
06/26/20,30521.6250
06/27/20,26033.7083
06/28/20,21666.2917
06/29/20,29667.2917
06/30/20,31550.2917
07/01/20,31072.2500
07/02/20,32096.2917
07/03/20,30942.3333
07/04/20,23638.9583
07/05/20,21040.9167
07/06/20,28566.3333
07/07/20,30442.2083
07/08/20,30347.4167
07/09/20,30004.1250
07/10/20,29996.7917
07/11/20,26705.2500
07/12/20,23866.7917
07/13/20,27132.9167
07/14/20,26146.6250
07/15/20,30259.7500
07/16/20,31460.9167
07/17/20,30957.2083
07/18/20,26416.5417
07/19/20,24448.4167
07/20/20,28554.7500
07/21/20,29046.7500
07/22/20,29572.3750
07/23/20,30127.3750
07/24/20,28169.1667
07/25/20,24775.1667
07/26/20,20861.2917
07/27/20,27108.3750
07/28/20,28605.8750
07/29/20,28899.9583
07/30/20,27259.5417
07/31/20,25310.2500
08/01/20,22248.6667
08/02/20,20695.7917
08/03/20,24557.8333
08/04/20,24990.9167
08/05/20,23773.4167
08/06/20,23535.4583
08/07/20,23604.8333
08/08/20,21373.0417
08/09/20,20391.4167
08/10/20,22441.4583
08/11/20,23623.7917
08/12/20,24224.0833
08/13/20,23650.0833
08/14/20,24730.2500
08/15/20,22825.7500
08/16/20,22337.0000
08/17/20,25679.4167
08/18/20,26895.0000
08/19/20,26910.5000
08/20/20,26666.5833
08/21/20,26097.5833
08/22/20,21399.6250
08/23/20,20147.0833
08/24/20,27882.9583
08/25/20,29678.8750
08/26/20,28597.3750
08/27/20,29660.6250
08/28/20,29017.4583
08/29/20,25025.7917
08/30/20,23637.5833
08/31/20,29695.1667
09/01/20,31832.8750
09/02/20,31784.3333
09/03/20,30445.8750
09/04/20,29366.3750
09/05/20,25948.4167
09/06/20,24916.1667
09/07/20,31877.4583
09/08/20,32241.6667
09/09/20,31999.3333
09/10/20,32157.6667
09/11/20,31934.2500
09/12/20,27057.3333
09/13/20,24094.3333
09/14/20,29407.0000
09/15/20,30692.4583
09/16/20,30588.1250
09/17/20,30328.5417
09/18/20,29700.0833
09/19/20,26523.7500
09/20/20,25685.7500
09/21/20,31530.5833
09/22/20,33870.4583
09/23/20,33417.0833
09/24/20,34032.0833
09/25/20,35613.9167
09/26/20,32317.0833
09/27/20,33757.3333
09/28/20,45246.3750
09/29/20,46660.2500
09/30/20,44179.4583
10/01/20,45611.7500
10/02/20,47973.3333
10/03/20,42233.3750
10/04/20,39033.7083
10/05/20,49140.2917
10/06/20,48520.9167
10/07/20,49223.6667
10/08/20,44984.0000
10/09/20,47563.5417
10/10/20,42412.0833
10/11/20,43673.0417
10/12/20,58376.4583
10/13/20,62202.6250
10/14/20,62785.8333
10/15/20,66515.9583
10/16/20,65781.0000
10/17/20,59034.5833
10/18/20,53721.0000
10/19/20,61601.2500
10/20/20,56278.7083
10/21/20,48040.0000
10/22/20,47131.3333
10/23/20,48911.5833
10/24/20,39650.5417
10/25/20,43099.5000
10/26/20,58192.8750
10/27/20,59538.3750
10/28/20,56045.3750
10/29/20,54903.5000
10/30/20,49778.6250
10/31/20,44091.7500
11/01/20,41316.8750
11/02/20,45810.7500
11/03/20,62846.9583
11/04/20,72806.0833
11/05/20,74641.5000
11/06/20,72264.1250
11/07/20,54436.7917
11/08/20,48097.6667
11/09/20,58452.6667
11/10/20,62811.5417
11/11/20,57910.0417
11/12/20,63090.4583
11/13/20,62806.1250
11/14/20,49751.7500
11/15/20,46745.5000
11/16/20,63911.7500
11/17/20,67267.7917
11/18/20,65999.1250
11/19/20,66490.2917
11/20/20,77728.3750
11/21/20,75105.2083
11/22/20,75029.4167
11/23/20,81313.9583
11/24/20,84450.2083
11/25/20,81806.4167
11/26/20,81561.5833
11/27/20,80333.6250
11/28/20,74955.5000
11/29/20,82757.0417
11/30/20,96630.8750
12/01/20,93223.6667
12/02/20,93870.1250
12/03/20,92277.2083
12/04/20,89971.7917
12/05/20,88213.6800
12/06/20,87119.7826
12/07/20,99495.8750
12/08/20,100515.4583
12/09/20,103440.5000
12/10/20,97717.8333
12/11/20,90486.2083
12/12/20,78089.1250
12/13/20,78125.5417
12/14/20,81352.5000
12/15/20,78127.9583
12/16/20,81020.8750
12/17/20,78923.4167
12/18/20,79023.5833
12/19/20,65007.7083
12/20/20,64579.6250
12/21/20,71230.4167
12/22/20,61171.8333
12/23/20,58270.3750
12/24/20,64509.5000
12/25/20,72347.7917
12/26/20,77516.9583
12/27/20,76701.0000
12/28/20,82488.9167
12/29/20,85173.8333
12/30/20,85453.4583
12/31/20,84743.8750
01/01/21,85406.7500
01/02/21,92863.3750
01/03/21,90378.0833
01/04/21,105444.7917
01/05/21,108555.8750
01/06/21,108612.2500
01/07/21,110142.3333
01/08/21,112005.5833
01/09/21,107163.3333
01/10/21,105535.9167
01/11/21,114146.5417
01/12/21,105208.5833
01/13/21,96062.3333
01/14/21,91418.7917
01/15/21,100253.2083
01/16/21,102440.5000
01/17/21,90633.7500
01/18/21,101174.5000
01/19/21,97104.8750
01/20/21,84619.8750
01/21/21,78078.9583
01/22/21,84430.0000
01/23/21,81265.7083
01/24/21,84883.6250
01/25/21,100088.6667
01/26/21,106738.2917
01/27/21,97209.8750
01/28/21,80250.2917
